id$fname$x1$x2$y1$y2$thickness$same_counter
147$function drawLine$164.5$114.5$189.5$189.5$1$1
148$function drawLine$160.5$160.5$239.5$289.5$1$1
149$function drawLine$164.5$164.5$235.5$285.5$1$1
150$function drawLine$164.5$114.5$235.5$235.5$1$1
151$function drawLine$160.5$110.5$239.5$239.5$1$1
152$function drawLine$160.5$210.5$135.5$135.5$1$1
153$function drawLine$164.5$214.5$139.5$139.5$1$1
154$function drawLine$260.5$260.5$185.5$235.5$1$1
155$function drawLine$264.5$264.5$189.5$239.5$1$1
161$function drawLine$239.5$239.5$185.5$135.5$1$1
162$function drawLine$235.5$235.5$189.5$139.5$1$1
163$function drawLine$239.5$289.5$185.5$185.5$1$1
164$function drawLine$235.5$285.5$189.5$189.5$1$1
165$function drawLine$185.5$185.5$239.5$289.5$1$1
166$function drawLine$189.5$189.5$235.5$285.5$1$1
167$function drawLine$189.5$139.5$235.5$235.5$1$1
168$function drawLine$185.5$135.5$239.5$239.5$1$1
169$function drawLine$185.5$235.5$139.5$139.5$1$1
170$function drawLine$189.5$239.5$135.5$135.5$1$1
171$function drawLine$139.5$139.5$185.5$235.5$1$1
172$function drawLine$135.5$135.5$189.5$239.5$1$1
173$function drawLine$185.5$239.5$289.5$289.5$1$1
174$function drawLine$189.5$235.5$285.5$285.5$1$1
175$function drawLine$289.5$289.5$185.5$239.5$1$1
176$function drawLine$285.5$285.5$189.5$235.5$1$1
181$function drawLine$183.0$237.0$127.0$127.0$1$1
182$function drawLine$187.0$233.0$123.0$123.0$1$1
183$function drawLine$183.0$237.0$273.0$273.0$1$1
184$function drawLine$187.0$233.0$277.0$277.0$1$1
185$function drawLine$137.0$137.0$173.0$227.0$1$1
186$function drawLine$133.0$133.0$177.0$223.0$1$1
187$function drawLine$283.0$283.0$173.0$227.0$1$1
188$function drawLine$287.0$287.0$177.0$223.0$1$1
190$function drawLine$180.5$180.5$160.5$110.5$1$1
191$function drawLine$184.5$184.5$164.5$114.5$1$1
192$function drawLine$180.5$130.5$160.5$160.5$1$1
193$function drawLine$184.5$134.5$164.5$164.5$1$1
194$function drawLine$234.5$234.5$160.5$110.5$1$1
195$function drawLine$230.5$230.5$164.5$114.5$1$1
196$function drawLine$234.5$284.5$160.5$160.5$1$1
197$function drawLine$230.5$280.5$164.5$164.5$1$1
198$function drawLine$180.5$180.5$214.5$264.5$1$1
199$function drawLine$184.5$184.5$210.5$260.5$1$1
200$function drawLine$184.5$134.5$210.5$210.5$1$1
201$function drawLine$180.5$130.5$214.5$214.5$1$1
202$function drawLine$184.5$234.5$260.5$260.5$1$1
203$function drawLine$180.5$230.5$264.5$264.5$1$1
204$function drawLine$280.5$280.5$164.5$214.5$1$1
205$function drawLine$284.5$284.5$160.5$210.5$1$1
206$function drawLine$180.5$234.5$110.5$110.5$1$1
207$function drawLine$184.5$230.5$114.5$114.5$1$1
208$function drawLine$134.5$134.5$164.5$210.5$1$1
209$function drawLine$130.5$130.5$160.5$214.5$1$1
215$function drawLine$205.5$205.5$160.5$110.5$1$1
216$function drawLine$209.5$209.5$164.5$114.5$1$1
217$function drawLine$205.5$155.5$160.5$160.5$1$1
218$function drawLine$209.5$159.5$164.5$164.5$1$1
219$function drawLine$259.5$259.5$160.5$110.5$1$1
220$function drawLine$255.5$255.5$164.5$114.5$1$1
221$function drawLine$259.5$309.5$160.5$160.5$1$1
222$function drawLine$255.5$305.5$164.5$164.5$1$1
223$function drawLine$259.5$259.5$214.5$264.5$1$1
224$function drawLine$255.5$255.5$210.5$260.5$1$1
225$function drawLine$255.5$305.5$210.5$210.5$1$1
226$function drawLine$259.5$309.5$214.5$214.5$1$1
227$function drawLine$209.5$259.5$264.5$264.5$1$1
228$function drawLine$205.5$255.5$260.5$260.5$1$1
229$function drawLine$159.5$159.5$164.5$214.5$1$1
230$function drawLine$155.5$155.5$160.5$210.5$1$1
231$function drawLine$205.5$259.5$110.5$110.5$1$1
232$function drawLine$209.5$255.5$114.5$114.5$1$1
233$function drawLine$305.5$305.5$164.5$210.5$1$1
234$function drawLine$309.5$309.5$160.5$214.5$1$1
240$function drawLine$180.5$180.5$185.5$135.5$1$1
241$function drawLine$184.5$184.5$189.5$139.5$1$1
242$function drawLine$180.5$130.5$185.5$185.5$1$1
243$function drawLine$184.5$134.5$189.5$189.5$1$1
244$function drawLine$180.5$180.5$239.5$289.5$1$1
245$function drawLine$184.5$184.5$235.5$285.5$1$1
246$function drawLine$184.5$134.5$235.5$235.5$1$1
247$function drawLine$180.5$130.5$239.5$239.5$1$1
248$function drawLine$234.5$234.5$239.5$289.5$1$1
249$function drawLine$230.5$230.5$235.5$285.5$1$1
250$function drawLine$230.5$280.5$235.5$235.5$1$1
251$function drawLine$234.5$284.5$239.5$239.5$1$1
252$function drawLine$180.5$230.5$135.5$135.5$1$1
253$function drawLine$184.5$234.5$139.5$139.5$1$1
254$function drawLine$280.5$280.5$185.5$235.5$1$1
255$function drawLine$284.5$284.5$189.5$239.5$1$1
256$function drawLine$180.5$234.5$289.5$289.5$1$1
257$function drawLine$184.5$230.5$285.5$285.5$1$1
258$function drawLine$134.5$134.5$189.5$235.5$1$1
259$function drawLine$130.5$130.5$185.5$239.5$1$1
265$function drawLine$259.5$259.5$185.5$135.5$1$1
266$function drawLine$255.5$255.5$189.5$139.5$1$1
267$function drawLine$259.5$309.5$185.5$185.5$1$1
268$function drawLine$255.5$305.5$189.5$189.5$1$1
