name;0;1;2;3;4;5;6;7;8;9;category;category_value
358.png;3.0106895e-10;3.3710855e-06;2.4047417e-06;3.032703e-06;6.797381e-06;6.2369077e-06;0.004934544;0.98387444;0.011164935;4.2084034e-06;7;0.98387444
55.png;2.2069668e-10;0.9999982;1.8353381e-07;2.7546855e-07;5.5095575e-07;5.7996397e-07;1.2688892e-08;1.3817126e-07;1.3862304e-07;1.5399165e-08;1;0.9999982
5.png;4.7942417e-10;4.7697117e-06;0.99438876;0.0042640553;0.0013323666;1.0841908e-06;2.454378e-06;3.1645545e-06;3.2537746e-06;5.413602e-08;2;0.99438876
23.png;2.2109861e-10;3.03031e-07;0.017888134;0.9821015;3.728541e-06;6.3644904e-07;4.2694646e-06;1.3332823e-07;1.1845951e-06;6.25931e-08;3;0.9821015
149.png;1.839036e-08;0.051453266;0.09123972;0.104317695;0.7528053;2.9186991e-05;8.687161e-06;2.9273742e-05;0.00011490639;1.9812128e-06;4;0.7528053
183.png;2.4158514e-10;1.2631186e-06;1.0465517e-05;1.3681837e-05;2.9264606e-06;1.4002105e-06;4.046928e-06;0.014961182;0.98492044;8.452903e-05;8;0.98492044
65.png;3.245012e-09;0.999992;2.2744098e-06;2.016209e-06;1.1108441e-06;1.0048817e-06;1.1136374e-07;6.762516e-07;6.689597e-07;1.1044611e-07;1;0.999992
173.png;5.579998e-10;1.7340018e-06;0.0060865604;0.9821061;0.0017748224;0.010008323;1.2093359e-07;1.3314277e-06;2.0680609e-05;3.95274e-07;3;0.9821061
88.png;2.8801739e-09;0.0034860615;0.0057273866;0.30989268;0.68070203;0.00014616747;4.5814386e-06;5.020117e-06;3.5478915e-05;5.7575e-07;4;0.68070203
232.png;1.1531277e-10;2.1991362e-07;0.00036993978;2.2152304e-05;5.309918e-05;0.00017671895;0.18884192;0.8065185;0.004016145;1.3700525e-06;7;0.8065185
362.png;9.716918e-13;2.2475585e-10;1.7823837e-07;1.3107494e-06;2.8451013e-06;9.744621e-07;1.985162e-07;0.98023456;0.019759856;5.707624e-08;7;0.98023456
287.png;6.5294006e-11;1.0062237e-06;1.0140146e-05;8.845312e-06;3.974151e-06;4.098707e-05;0.875241;0.12469132;1.8660089e-06;9.2860824e-07;6;0.875241
129.png;6.357987e-08;0.84133273;0.08775001;0.00524019;0.06548932;6.203569e-05;6.7548586e-05;3.7356596e-05;1.772707e-05;3.062985e-06;1;0.84133273
180.png;1.4819995e-10;7.785726e-07;2.8470424e-06;1.0409763e-06;2.2996935e-06;1.2130785e-05;0.85479486;0.14517722;8.682281e-06;9.301234e-08;6;0.85479486
89.png;8.133115e-09;0.0007733201;0.060200565;0.07895413;0.8596724;0.00028180395;8.997985e-06;2.442174e-05;8.266363e-05;1.6251522e-06;4;0.8596724
83.png;1.15655964e-10;1.4751974e-07;0.9774804;0.022377182;0.00013272221;1.1973175e-06;8.5623765e-07;1.0017012e-06;6.473464e-06;2.8113934e-08;2;0.9774804
327.png;1.2717319e-10;2.2089864e-07;0.00037600755;2.2783186e-05;5.7253164e-05;0.00016890909;0.18181637;0.8122546;0.005302387;1.5212019e-06;7;0.8122546
200.png;2.8801739e-09;0.0034860615;0.0057273866;0.30989268;0.68070203;0.00014616747;4.5814386e-06;5.020117e-06;3.5478915e-05;5.7575e-07;4;0.68070203
63.png;4.0118082e-11;1.2470792e-07;7.031905e-07;4.125856e-07;4.1171535e-07;2.1163653e-06;0.9883852;0.011607071;3.944938e-06;1.37900855e-08;6;0.9883852
197.png;5.1884885e-12;3.8230166e-08;0.714559;0.28506154;0.00037546732;9.8403156e-08;4.0315174e-07;1.4879092e-07;3.2632302e-06;2.3561133e-09;2;0.714559
112.png;1.4021083e-09;0.9754009;0.022329576;0.000738104;0.0015264517;5.758192e-07;2.2011895e-06;8.385937e-07;1.2484015e-06;7.272746e-08;1;0.9754009
226.png;1.3555057e-11;2.7515513e-08;0.998563;0.0014002033;3.442142e-05;8.714875e-08;1.7306706e-07;3.0786498e-07;1.8589525e-06;3.6200396e-09;2;0.998563
255.png;2.734265e-10;1.1328748e-06;2.357479e-05;4.80505e-06;2.4415118e-05;1.3945399e-05;0.2500789;0.74973065;0.00012249846;6.0273365e-08;7;0.74973065
1.png;1.8961872e-09;2.347507e-05;0.92795074;0.05757281;0.014415127;8.209838e-06;7.564094e-06;8.471392e-06;1.3339563e-05;2.1583698e-07;2;0.92795074
168.png;1.3619447e-10;1.4177662e-06;1.387184e-06;2.404033e-07;1.4399719e-06;0.008712587;0.002889544;0.9883654;2.7699714e-05;1.7269143e-07;7;0.9883654
272.png;1.828629e-09;0.97404623;0.0067991763;0.016292319;0.0028250958;1.1937808e-05;9.2345533e-07;3.6581198e-06;2.0267755e-05;3.981448e-07;1;0.97404623
121.png;6.2122672e-12;2.1171319e-08;1.8630806e-07;1.1846539e-07;1.628862e-07;5.150242e-07;0.996924;0.0030747815;2.695541e-07;2.1495112e-09;6;0.996924
84.png;1.39816205e-11;2.579015e-08;0.9988268;0.0011534313;1.8045022e-05;1.2656811e-07;1.3124014e-07;2.0642501e-07;1.1320952e-06;3.7780596e-09;2;0.9988268
107.png;8.533039e-11;4.3849887e-08;0.3212831;0.67871207;2.345737e-06;5.475883e-07;4.2614468e-07;1.0131511e-07;1.3510137e-06;1.15267085e-08;3;0.67871207
203.png;1.0198808e-08;0.0003931146;0.012497339;0.96969026;0.017276073;2.5537178e-05;4.3718825e-05;1.41814235e-05;5.861506e-05;9.866932e-07;3;0.96969026
305.png;2.4041353e-12;2.2348243e-10;0.000512583;0.020544238;6.6766415e-07;0.9789417;2.250142e-09;2.8352733e-07;5.440831e-07;2.649047e-08;5;0.9789417
225.png;1.0598021e-10;1.489334e-07;0.97465837;0.025071805;0.00025524155;9.667939e-07;1.115209e-06;1.4423815e-06;1.0771833e-05;2.7434568e-08;2;0.97465837
289.png;6.163665e-10;8.189344e-07;5.2790892e-05;1.3356439e-05;7.688786e-06;0.59418964;1.1324161e-05;0.40430775;0.0014113295;5.165922e-06;5;0.59418964
137.png;7.244652e-11;5.2576375e-08;0.6084545;0.39153907;3.844762e-06;4.278461e-07;3.843037e-07;1.3852716e-07;1.5905796e-06;1.19258035e-08;2;0.6084545
17.png;2.3532902e-09;2.7699054e-06;0.040661663;0.95909244;0.00016362124;7.8038265e-06;2.0190475e-05;1.797295e-06;4.8543563e-05;1.1723888e-06;3;0.95909244
134.png;4.9489974e-12;4.0379373e-08;2.74453e-07;3.426796e-08;2.3204059e-07;1.5871017e-06;0.0054477598;0.99453074;1.9317547e-05;2.2575035e-08;7;0.99453074
140.png;2.098684e-10;5.648595e-08;0.12496011;0.8750331;3.0334709e-06;3.3043005e-07;4.0147788e-07;1.357951e-07;2.754657e-06;2.5237805e-08;3;0.8750331
96.png;2.1422029e-11;8.228096e-08;9.107303e-07;1.8746384e-07;7.3494107e-07;0.0011996366;1.5536722e-05;0.9943052;0.0044775214;6.2500845e-08;7;0.9943052
193.png;5.818054e-10;3.5387345e-07;0.00014787722;3.393898e-05;9.656621e-07;0.000110882895;4.9781734e-06;0.5103224;0.021431012;0.4679477;7;0.5103224
210.png;1.12607895e-10;4.577931e-07;2.9545495e-06;5.9824094e-07;1.1929698e-06;0.0003454469;0.0572956;0.9411554;0.0011981074;4.023016e-07;7;0.9411554
308.png;2.0158311e-10;0.0021374666;0.97786796;0.015552602;1.0223646e-05;0.0044100913;1.0626596e-06;1.8435287e-05;1.850466e-06;2.2860635e-07;2;0.97786796
119.png;1.9583508e-09;4.445126e-06;0.00011734451;5.874137e-05;4.787281e-05;0.00016741153;0.8413872;0.15450881;0.0037068748;1.3075739e-06;6;0.8413872
