name;0;1;2;3;4;5;6;7;8;9;category;category_value
358.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7;1.0
55.png;0.0;1.0;0.0;2.5448542e-32;0.0;0.0;6.256496e-26;0.0;0.0;0.0;1;1.0
5.png;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
23.png;0.0;0.0;3.588316e-38;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
149.png;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
183.png;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.4351091e-29;0.0;6;1.0
65.png;0.0;0.0;2.5045177e-37;0.002469327;0.0;0.00022278649;0.0;0.9973079;0.0;0.0;7;0.9973079
173.png;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
88.png;0.0;0.0;4.4146334e-14;1.0;0.0;0.0;0.0;0.0;4.1220248e-21;0.0;3;1.0
232.png;0.0;0.0;0.0;7.8274436e-38;0.0;1.0;7.6976474e-11;5.0319612e-31;5.4727378e-31;0.0;5;1.0
362.png;0.0;0.0;0.0;0.0;0.0;3.1685362e-17;0.0;1.0;0.0;0.0;7;1.0
287.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.2150003e-22;0.0;7;1.0
129.png;0.0;5.1687126e-23;1.0;2.6608703e-37;0.0;0.0;9.068785e-29;0.0;0.0;0.0;2;1.0
180.png;0.0;0.0;0.0;0.0;0.0;1.7302318e-16;1.0;0.0;0.0;0.0;6;1.0
89.png;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
83.png;0.0;0.0;2.2876622e-14;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0
327.png;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7;1.0
