id$fname$distanceWidthRadius$lineLength$size$thickness$__counter__$Name$NotAesthetic$Aesthetic$perceivedAesthetics$perceivedChaos$same_counter$centerX$centerY$direction$inheritedOperation$iteration$moveRatioIteration$wcurve.diagonalLength$wcurve.distanceWidthRadius$wcurve.lineLength$wcurve.lineLengthHalf$wcurve.moveRatio$wcurve.size$wcurve.thickness$image_base64_url$pointsTo$wcurve$x1$x2$y1$y2
5$function drawLine$$$$1$2$['10.png', '11.png']$['0,967099', '0,9735091']$['0,032901037', '0,026490962']$['3', '1']$['3', '7']$3$$$$$$$$$$$$$$$$$173$227$127$127
6$function drawLine$$$$1$2$['10.png', '11.png']$['0,967099', '0,9735091']$['0,032901037', '0,026490962']$['3', '1']$['3', '7']$3$$$$$$$$$$$$$$$$$160.5$160.5$160.5$110.5
