from$to
0$1
3$4
3$5
3$6
3$7
2$3
8$9
8$10
8$11
8$12
2$8
13$14
13$15
13$16
13$17
2$13
18$19
18$20
18$21
18$22
2$18
0$2
0$23
24$25
24$26
24$27
24$28
0$24
30$31
30$32
30$33
30$34
29$30
35$36
35$37
35$38
35$39
29$35
40$41
40$42
40$43
40$44
29$40
45$46
45$47
45$48
45$49
29$45
0$29
51$52
51$53
51$54
51$55
50$51
56$57
56$58
56$59
56$60
50$56
61$62
61$63
61$64
61$65
50$61
66$67
66$68
66$69
66$70
50$66
0$50
