Name;Not Aesthetic;Aesthetic
337.png;0,93754625;0,062453687
338.png;0,93725014;0,06274991
339.png;0,92456317;0,07543677
34.png;0,9724434;0,027556574
340.png;0,91658914;0,08341091
341.png;0,9707187;0,029281382
342.png;0,9751937;0,024806289
343.png;0,21932888;0,7806711
344.png;0,9258853;0,07411463
345.png;0,9094743;0,090525664
346.png;0,038365845;0,96163416
347.png;0,29907203;0,700928
348.png;0,6725175;0,32748246
349.png;0,86598486;0,13401513
35.png;0,9707273;0,029272735
350.png;0,84838915;0,15161085
351.png;0,759039;0,24096106
352.png;0,88195664;0,1180434
353.png;0,6543678;0,34563217
354.png;0,8089347;0,19106536
355.png;0,9182118;0,081788175
356.png;0,8661778;0,13382217
357.png;0,80667776;0,19332226
358.png;0,92954487;0,07045513
359.png;0,7262371;0,27376288
36.png;0,9489064;0,05109358
360.png;0,8509056;0,14909434
361.png;0,86907077;0,13092922
362.png;0,7891099;0,21089016
363.png;0,75672215;0,24327785
364.png;0,89382476;0,10617524
365.png;0,7041901;0,29580986
366.png;0,7904961;0,2095039
367.png;0,86234516;0,1376549
368.png;0,9403603;0,059639778
369.png;0,8435421;0,15645786
37.png;0,9681142;0,031885758
370.png;0,8560787;0,14392135
371.png;0,9300865;0,06991348
372.png;0,77537984;0,22462021
373.png;0,9469043;0,053095765
374.png;0,96898335;0,031016678
375.png;0,8275968;0,17240317
376.png;0,9469043;0,053095765
377.png;0,969003;0,030996947
378.png;0,7639244;0,23607557
38.png;0,9454987;0,054501377
39.png;0,95601106;0,0439889
4.png;0,9351971;0,06480287
40.png;0,6368271;0,36317292
41.png;0,97787434;0,022125604
42.png;0,93869895;0,061301023
43.png;0,22870307;0,771297
44.png;0,32292792;0,67707205
45.png;0,57753444;0,42246556
46.png;0,97265786;0,027342128
47.png;0,9522018;0,047798228
48.png;0,9527038;0,04729623
49.png;0,96765244;0,032347556
5.png;0,9783;0,021700026
50.png;0,9494629;0,05053714
51.png;0,94340295;0,056597035
52.png;0,9811198;0,018880133
53.png;0,9542134;0,045786638
54.png;0,9619319;0,038068116
55.png;0,9239045;0,07609556
56.png;0,9729134;0,027086651
57.png;0,31156686;0,68843305
58.png;0,9542134;0,045786638
59.png;0,967099;0,032901037
6.png;0,9257673;0,07423268
60.png;0,9735091;0,026490962
61.png;0,95022887;0,049771138
62.png;0,9668151;0,03318484
63.png;0,3244021;0,6755979
64.png;0,959682;0,040318005
65.png;0,95022887;0,049771138
66.png;0,9540682;0,045931898
67.png;0,13549365;0,86450636
68.png;0,967099;0,032901037
69.png;0,96830386;0,03169618
7.png;0,9149636;0,0850364
70.png;0,96929157;0,03070846
71.png;0,9535903;0,04640967
72.png;0,96410143;0,035898548
73.png;0,95022887;0,049771138
74.png;0,96538645;0,034613565
75.png;0,11780344;0,8821966
76.png;0,9808925;0,01910756
77.png;0,9117361;0,08826392
78.png;0,91786796;0,08213207
79.png;0,981262;0,018737977
8.png;0,9811198;0,018880133
80.png;0,9290305;0,07096954
81.png;0,922344;0,07765602
82.png;0,97036976;0,029630188
83.png;0,95286596;0,04713404
84.png;0,9515079;0,04849204
85.png;0,961575;0,038425058
86.png;0,9409534;0,05904656
87.png;0,93491393;0,065086074
88.png;0,9633461;0,036653847
89.png;0,9611979;0,038802013
9.png;0,9791374;0,02086256
90.png;0,9437875;0,05621254
91.png;0,9460157;0,053984273
92.png;0,8806128;0,11938724
93.png;0,9171067;0,082893334
94.png;0,60461485;0,3953851
95.png;0,9723041;0,027695948
96.png;0,9341632;0,0658368
97.png;0,17526951;0,8247305
98.png;0,3107087;0,6892913
99.png;0,6366873;0,36331278
